,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,19,フアスカル・イノア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アトランタ・ブレーブス
1,22,ルーク・ジャクソン,5.09,52,0,0,0,0,4,3,3,0,.571,53,52,7,59,10.02,26,2,5,0,33,30,.255,2.27,1.47,アトランタ・ブレーブス
2,26,ライセル・イグレシアス,1.95,66,0,0,0,0,6,2,0,34,.750,69.1,38,4,68,8.83,13,3,1,0,19,15,.160,5.23,0.74,アトランタ・ブレーブス
3,30,ハーストン・ウォールドレプ,16.71,2,2,0,0,0,0,1,0,0,.000,7,9,3,3,3.86,8,1,0,0,13,13,.333,0.38,2.43,アトランタ・ブレーブス
4,32,Ａ．Ｊ．スミスショーバー,0.00,1,1,0,0,0,0,0,0,0,.000,4.1,3,0,4,8.31,2,0,0,0,0,0,.188,2.00,1.15,アトランタ・ブレーブス
5,33,Ａ．Ｊ．ミンター,2.62,39,0,0,0,0,5,4,9,1,.556,34.1,24,6,35,9.17,11,1,0,0,10,10,.198,3.18,1.02,アトランタ・ブレーブス
6,38,ピアース・ジョンソン,3.67,58,0,0,0,0,6,6,12,2,.500,56.1,48,6,67,10.70,25,2,2,0,25,23,.230,2.68,1.30,アトランタ・ブレーブス
7,40,レイナルド・ロペス,1.99,26,25,0,0,14,8,5,1,0,.615,135.2,108,10,148,9.82,42,2,2,1,32,30,.220,3.52,1.11,アトランタ・ブレーブス
8,46,ディラン・ドッド,9.00,1,0,0,0,0,0,0,0,0,.000,2,4,0,2,9.00,1,0,0,0,2,2,.500,2.00,2.50,アトランタ・ブレーブス
9,48,イアン・アンダーソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アトランタ・ブレーブス
10,49,アーロン・バマー,3.58,56,0,0,0,0,4,3,2,0,.571,55.1,61,2,69,11.22,18,2,2,0,24,22,.279,3.83,1.43,アトランタ・ブレーブス
11,50,チャーリー・モートン,4.19,30,30,0,0,12,8,10,0,0,.444,165.1,154,23,167,9.09,65,18,2,1,85,77,.251,2.57,1.32,アトランタ・ブレーブス
12,51,クリス・セール,2.38,29,29,0,0,18,18,3,0,0,.857,177.2,141,9,225,11.40,39,8,4,1,48,47,.216,5.77,1.01,アトランタ・ブレーブス
13,52,ディラン・リー,2.11,52,0,0,0,0,4,2,9,0,.667,59.2,49,7,76,11.46,17,0,0,0,19,14,.222,4.47,1.11,アトランタ・ブレーブス
14,54,マックス・フリード,3.25,29,29,2,1,16,11,10,0,0,.524,174.1,146,13,166,8.57,57,7,6,0,71,63,.226,2.91,1.16,アトランタ・ブレーブス
15,55,ブライス・エルダー,6.52,10,10,0,0,3,2,5,0,0,.286,49.2,64,8,46,8.34,17,2,3,0,37,36,.311,2.71,1.63,アトランタ・ブレーブス
16,56,スペンサー・シュウェレンバック,3.35,21,21,0,0,12,8,7,0,0,.533,123.2,106,14,127,9.24,23,6,3,0,49,46,.226,5.52,1.04,アトランタ・ブレーブス
17,58,レイ・カー,5.64,10,2,0,0,0,1,2,0,0,.333,22.1,29,4,27,10.88,7,3,2,0,14,14,.315,3.86,1.61,アトランタ・ブレーブス
18,59,ジョン・ブレビア,5.86,59,0,0,0,0,0,6,14,2,.000,55.1,56,11,67,10.90,19,3,1,0,36,36,.255,3.53,1.36,アトランタ・ブレーブス
19,60,ジェシー・チャベス,3.13,46,0,0,0,0,2,2,1,0,.500,63.1,60,10,55,7.82,19,1,0,1,27,22,.249,2.89,1.25,アトランタ・ブレーブス
20,62,デースベル・ヘルナンデス,2.50,16,0,0,0,0,3,0,1,0,1.000,18,10,0,26,13.00,10,1,1,0,6,5,.159,2.60,1.11,アトランタ・ブレーブス
21,66,グラント・ホームズ,3.56,26,7,0,0,1,2,1,1,0,.667,68.1,66,7,70,9.22,15,2,2,0,27,27,.252,4.67,1.19,アトランタ・ブレーブス
22,72,アラン・ワイナンス,15.26,2,2,0,0,0,0,2,0,0,.000,7.2,14,3,4,4.70,4,0,0,0,14,13,.378,1.00,2.35,アトランタ・ブレーブス
23,77,ジョー・ヒメネス,2.62,69,0,0,0,0,1,5,27,3,.167,68.2,45,2,82,10.75,23,4,0,0,22,20,.181,3.57,0.99,アトランタ・ブレーブス
24,99,スペンサー・ストライダー,7.00,2,2,0,0,0,0,0,0,0,.000,9,10,2,12,12.00,5,0,0,0,7,7,.270,2.40,1.67,アトランタ・ブレーブス
25,-,アンヘル・ペルドモ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アトランタ・ブレーブス
26,65,ルーク・ウィリアムズ,4.50,3,0,0,0,0,0,0,0,0,.000,4,5,0,0,0.00,1,1,0,0,2,2,.294,0.00,1.50,アトランタ・ブレーブス
0,1,マッケンジー・ゴア,3.90,32,32,0,0,11,10,12,0,0,.455,166.1,171,15,181,9.79,65,11,14,0,93,72,.263,2.78,1.42,ワシントン・ナショナルズ
1,9,ケイド・カバーリ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
